GEN UID,Area
6251_Nuclear_2,Coast
6251_Nuclear_1,Coast
6145_Nuclear_1,North_Central
6145_Nuclear_2,North_Central
56611_ConventionalSteamCoal_S01,North_Central
298_ConventionalSteamCoal_2,East
6180_ConventionalSteamCoal_OG2,East
6180_ConventionalSteamCoal_OG1,East
298_ConventionalSteamCoal_1,East
6146_ConventionalSteamCoal_2,East
6146_ConventionalSteamCoal_3,East
6146_ConventionalSteamCoal_1,East
7097_ConventionalSteamCoal_2,South_Central
3460_NaturalGasSteamTurbine_1,Coast
3460_NaturalGasSteamTurbine_2,Coast
3470_ConventionalSteamCoal_5,Coast
3470_ConventionalSteamCoal_6,Coast
6178_ConventionalSteamCoal_1,South
6179_ConventionalSteamCoal_1,South_Central
6179_ConventionalSteamCoal_2,South_Central
7097_ConventionalSteamCoal_1,South_Central
3470_NaturalGasSteamTurbine_4,Coast
3453_NaturalGasSteamTurbine_8,North_Central
3452_NaturalGasSteamTurbine_2,North_Central
60122_NaturalGasFiredCombinedCycle_STG9,Coast
3504_NaturalGasSteamTurbine_ST2,East
3491_NaturalGasSteamTurbine_4,North_Central
6181_ConventionalSteamCoal_1,South_Central
3611_NaturalGasSteamTurbine_2,South_Central
55480_NaturalGasFiredCombinedCycle_ST2,North_Central
3491_NaturalGasSteamTurbine_3,North_Central
6183_ConventionalSteamCoal_1,South
3452_NaturalGasSteamTurbine_1,North_Central
3611_NaturalGasSteamTurbine_1,South_Central
55480_NaturalGasFiredCombinedCycle_ST1,North_Central
55062_NaturalGasFiredCombinedCycle_STG1,East
60122_NaturalGasFiredCombinedCycle_CT8,Coast
59812_NaturalGasFiredCombinedCycle_CGT5,North_Central
59812_NaturalGasFiredCombinedCycle_CGT4,North_Central
3441_NaturalGasFiredCombinedCycle_7,South
58001_NaturalGasFiredCombinedCycle_STG-1,North_Central
3612_NaturalGasSteamTurbine_3,South_Central
4939_NaturalGasSteamTurbine_1,South
3490_NaturalGasSteamTurbine_2,North_Central
55137_NaturalGasFiredCombinedCycle_STG1,South_Central
55230_NaturalGasFiredCombinedCycle_ST2,North_Central
3470_NaturalGasSteamTurbine_3,Coast
3548_NaturalGasSteamTurbine_2,South_Central
55091_NaturalGasFiredCombinedCycle_STK5,North_Central
55091_NaturalGasFiredCombinedCycle_STK3,North_Central
55091_NaturalGasFiredCombinedCycle_STK4,North_Central
55320_NaturalGasFiredCombinedCycle_GT1,North_Central
58001_NaturalGasFiredCombinedCycle_STG-2,North_Central
55123_NaturalGasFiredCombinedCycle_CTG1,South
55123_NaturalGasFiredCombinedCycle_CTG2,South
55139_NaturalGasFiredCombinedCycle_CTG1,North_Central
58001_NaturalGasFiredCombinedCycle_CTG-2,North_Central
3548_NaturalGasSteamTurbine_1,South_Central
55144_NaturalGasFiredCombinedCycle_U3,South_Central
55091_NaturalGasFiredCombinedCycle_STK1,North_Central
55215_NaturalGasFiredCombinedCycle_STG1,Far_West
55215_NaturalGasFiredCombinedCycle_STG2,Far_West
55097_NaturalGasFiredCombinedCycle_STG1,North
3628_NaturalGasSteamTurbine_3,North_Central
3490_NaturalGasSteamTurbine_1,North_Central
55153_NaturalGasFiredCombinedCycle_STG2,South_Central
55091_NaturalGasFiredCombinedCycle_STK2,North_Central
55139_NaturalGasFiredCombinedCycle_ST,North_Central
55357_NaturalGasFiredCombinedCycle_STG1,Coast
7512_NaturalGasFiredCombinedCycle_3,South_Central
55299_NaturalGasFiredCombinedCycle_CTG2,Coast
55299_NaturalGasFiredCombinedCycle_CTG1,Coast
55299_NaturalGasFiredCombinedCycle_CTG3,Coast
60122_NaturalGasFiredCombinedCycle_CT7,Coast
3612_NaturalGasSteamTurbine_2,South_Central
55172_NaturalGasFiredCombinedCycle_ST-5,North_Central
4937_NaturalGasFiredCombinedCycle_STG,South_Central
55226_NaturalGasFiredCombinedCycle_ST3,East
55320_NaturalGasFiredCombinedCycle_ST1,North_Central
3507_NaturalGasSteamTurbine_6,East
55327_NaturalGasFiredCombinedCycle_CTG1,Coast
55299_NaturalGasFiredCombinedCycle_ST-1,Coast
55154_NaturalGasFiredCombinedCycle_ST,South_Central
56806_NaturalGasFiredCombinedCycle_4,Coast
55464_NaturalGasFiredCombinedCycle_CTG4,Coast
55154_NaturalGasFiredCombinedCycle_CTB,South_Central
3470_NaturalGasSteamTurbine_2,Coast
3470_NaturalGasSteamTurbine_1,Coast
3504_NaturalGasSteamTurbine_ST1,East
55357_NaturalGasFiredCombinedCycle_CTG2,Coast
56806_NaturalGasFiredCombinedCycle_41,Coast
55047_NaturalGasFiredCombinedCycle_STG2,Coast
55047_NaturalGasFiredCombinedCycle_CTG3,Coast
55230_NaturalGasFiredCombinedCycle_CT1,North_Central
55047_NaturalGasFiredCombinedCycle_CTG2,Coast
7512_NaturalGasFiredCombinedCycle_2,South_Central
55187_NaturalGasFiredCombinedCycle_GT3,Coast
54817_NaturalGasFiredCombinedCycle_GT-1,North_Central
55187_NaturalGasFiredCombinedCycle_GT2,Coast
55215_NaturalGasFiredCombinedCycle_CTG1,Far_West
7900_NaturalGasFiredCombinedCycle_5A,South_Central
55097_NaturalGasFiredCombinedCycle_CTG4,North
55144_NaturalGasFiredCombinedCycle_U1,South_Central
55480_NaturalGasFiredCombinedCycle_U6,North_Central
55480_NaturalGasFiredCombinedCycle_U5,North_Central
55480_NaturalGasFiredCombinedCycle_U3,North_Central
7512_NaturalGasFiredCombinedCycle_1,South_Central
4939_NaturalGasFiredCombinedCycle_3,South
3441_NaturalGasFiredCombinedCycle_8,South
3441_NaturalGasFiredCombinedCycle_9,South
4939_NaturalGasFiredCombinedCycle_4,South
55062_NaturalGasFiredCombinedCycle_GTG2,East
55153_NaturalGasFiredCombinedCycle_STG1,South_Central
55137_NaturalGasFiredCombinedCycle_CTG2,South_Central
55137_NaturalGasFiredCombinedCycle_CTG3,South_Central
7030_ConventionalSteamCoal_2,East
55097_NaturalGasFiredCombinedCycle_CTG3,North
58001_NaturalGasFiredCombinedCycle_CTG-4,North_Central
7030_ConventionalSteamCoal_1,East
55320_NaturalGasFiredCombinedCycle_GT2,North_Central
7900_NaturalGasFiredCombinedCycle_5C,South_Central
58471_NaturalGasFiredCombustionTurbine_CTG2,Far_West
55313_OtherGases_STG,South
55230_NaturalGasFiredCombinedCycle_CT4,North_Central
55226_NaturalGasFiredCombinedCycle_GT3,East
55168_NaturalGasFiredCombinedCycle_1,South_Central
55545_NaturalGasFiredCombinedCycle_CTG2,South
55168_NaturalGasFiredCombinedCycle_2,South_Central
55313_NaturalGasFiredCombinedCycle_CTG2,South
55153_NaturalGasFiredCombinedCycle_CTG3,South_Central
55153_NaturalGasFiredCombinedCycle_CTG1,South_Central
55464_NaturalGasFiredCombinedCycle_STG1,Coast
55132_NaturalGasFiredCombinedCycle_GTG3,East
55132_NaturalGasFiredCombinedCycle_GTG1,East
55230_NaturalGasFiredCombinedCycle_ST1,North_Central
55545_NaturalGasFiredCombinedCycle_STG1,South
55480_NaturalGasFiredCombinedCycle_U4,North_Central
55139_NaturalGasFiredCombinedCycle_CTG2,North_Central
55091_NaturalGasFiredCombinedCycle_STK6,North_Central
55357_NaturalGasFiredCombinedCycle_CTG1,Coast
56708_NaturalGasSteamTurbine_G2101,Coast
55230_NaturalGasFiredCombinedCycle_CT3,North_Central
55172_NaturalGasFiredCombinedCycle_GT-1,North_Central
55086_NaturalGasFiredCombinedCycle_GT1A,South
55327_NaturalGasFiredCombinedCycle_CTG3,Coast
55086_NaturalGasFiredCombinedCycle_GT1B,South
55154_NaturalGasFiredCombinedCycle_CTA,South_Central
58001_NaturalGasFiredCombinedCycle_CTG-3,North_Central
55480_NaturalGasFiredCombinedCycle_U2,North_Central
56806_NaturalGasFiredCombinedCycle_42,Coast
3576_NaturalGasSteamTurbine_3,North_Central
55206_NaturalGasFiredCombinedCycle_CT1,South
3612_NaturalGasSteamTurbine_1,South_Central
3601_NaturalGasSteamTurbine_2,South_Central
3601_NaturalGasSteamTurbine_1,South_Central
55187_NaturalGasFiredCombinedCycle_ST1,Coast
55464_NaturalGasFiredCombinedCycle_CTG6,Coast
55153_NaturalGasFiredCombinedCycle_CTG2,South_Central
55206_NaturalGasFiredCombinedCycle_ST1,South
10692_NaturalGasFiredCombustionTurbine_GEN5,Coast
3443_NaturalGasFiredCombinedCycle_7,Coast
55132_NaturalGasFiredCombinedCycle_GTG2,East
55097_NaturalGasFiredCombinedCycle_CTG1,North
55215_NaturalGasFiredCombinedCycle_CTG4,Far_West
55327_NaturalGasFiredCombinedCycle_STG1,Coast
55215_NaturalGasFiredCombinedCycle_CTG2,Far_West
4937_NaturalGasFiredCombinedCycle_CT-1,South_Central
3453_NaturalGasSteamTurbine_6,North_Central
55226_NaturalGasFiredCombinedCycle_GT1,East
58005_NaturalGasFiredCombinedCycle_CTG-2,North
60468_NaturalGasFiredCombustionTurbine_GT-1,Coast
55230_NaturalGasFiredCombinedCycle_CT2,North_Central
55097_NaturalGasFiredCombinedCycle_CTG2,North
55097_NaturalGasFiredCombinedCycle_STG2,North
55168_NaturalGasFiredCombinedCycle_3,South_Central
55144_NaturalGasFiredCombinedCycle_U2,South_Central
55223_NaturalGasFiredCombinedCycle_ST1,North_Central
58005_NaturalGasFiredCombinedCycle_CTG-1,North
55172_NaturalGasFiredCombinedCycle_GT-3,North_Central
50815_NaturalGasFiredCombinedCycle_GEN6,Coast
55313_NaturalGasFiredCombinedCycle_CTG1,South
3443_NaturalGasFiredCombinedCycle_5,Coast
55062_NaturalGasFiredCombinedCycle_GTG1,East
6243_NaturalGasSteamTurbine_1,East
55470_NaturalGasFiredCombinedCycle_TR2,Coast
55015_NaturalGasFiredCombustionTurbine_GEN4,Coast
55015_NaturalGasFiredCombustionTurbine_GEN2,Coast
55187_NaturalGasFiredCombinedCycle_GT4,Coast
55226_NaturalGasFiredCombinedCycle_GT4,East
3576_NaturalGasSteamTurbine_2,North_Central
56152_NaturalGasFiredCombinedCycle_CTG1,Coast
55172_NaturalGasFiredCombinedCycle_GT-2,North_Central
54817_NaturalGasFiredCombinedCycle_ST-1,North_Central
52088_NaturalGasFiredCombinedCycle_GEN4,Coast
52088_NaturalGasFiredCombinedCycle_GEN3,Coast
52088_NaturalGasFiredCombinedCycle_GEN2,Coast
3628_NaturalGasFiredCombustionTurbine_5,North_Central
55187_NaturalGasFiredCombinedCycle_GT1,Coast
55464_NaturalGasFiredCombinedCycle_CTG3,Coast
55470_NaturalGasFiredCombinedCycle_TR1,Coast
55062_NaturalGasFiredCombinedCycle_GTG3,East
52088_NaturalGasFiredCombinedCycle_GEN1,Coast
55545_NaturalGasFiredCombinedCycle_CTG1,South
56349_NaturalGasFiredCombinedCycle_ST2,Far_West
56349_NaturalGasFiredCombinedCycle_ST1,Far_West
56350_NaturalGasFiredCombinedCycle_ST2,Coast
56350_NaturalGasFiredCombinedCycle_ST1,Coast
55226_NaturalGasFiredCombinedCycle_GT2,East
56708_NaturalGasSteamTurbine_G2201,Coast
52120_NaturalGasFiredCombinedCycle_G-65,Coast
55015_NaturalGasFiredCombustionTurbine_GEN3,Coast
3469_NaturalGasFiredCombinedCycle_4,Coast
54676_NaturalGasFiredCombinedCycle_G84,Coast
55137_NaturalGasFiredCombinedCycle_CTG1,South_Central
55226_NaturalGasFiredCombinedCycle_ST6,East
55464_NaturalGasFiredCombinedCycle_CTG1,Coast
55215_NaturalGasFiredCombinedCycle_CTG3,Far_West
55480_NaturalGasFiredCombinedCycle_U1,North_Central
10692_NaturalGasFiredCombustionTurbine_GEN4,Coast
55464_NaturalGasFiredCombinedCycle_CTG2,Coast
55172_NaturalGasFiredCombinedCycle_ST-4,North_Central
3628_NaturalGasFiredCombustionTurbine_4,North_Central
55470_NaturalGasFiredCombinedCycle_TR3,Coast
4937_NaturalGasFiredCombinedCycle_CT-2,South_Central
7325_NaturalGasFiredCombustionTurbine_2,Coast
55708_Wood/WoodWasteBiomass_STG4,East
55047_NaturalGasFiredCombinedCycle_CTG1,Coast
50109_NaturalGasFiredCombinedCycle_GEN2,North
55153_NaturalGasFiredCombinedCycle_CTG4,South_Central
55086_NaturalGasFiredCombinedCycle_STG,South
10298_NaturalGasFiredCombustionTurbine_GT1,Coast
55311_NaturalGasFiredCombustionTurbine_GEN1,Coast
3576_NaturalGasSteamTurbine_1,North_Central
10298_NaturalGasFiredCombustionTurbine_GT3,Coast
50304_OtherGases_GEN4,Coast
55470_NaturalGasFiredCombinedCycle_ST1,Coast
58378_NaturalGasFiredCombustionTurbine_GT2,Coast
52120_NaturalGasFiredCombinedCycle_G-67,Coast
54676_NaturalGasFiredCombinedCycle_G83,Coast
54676_NaturalGasFiredCombinedCycle_G81,Coast
10554_NaturalGasFiredCombinedCycle_TBG6,Coast
10554_NaturalGasFiredCombinedCycle_TBG3,Coast
10554_NaturalGasFiredCombinedCycle_TBG2,Coast
10554_NaturalGasFiredCombinedCycle_TBG1,Coast
56350_NaturalGasFiredCombinedCycle_CT2A,Coast
56350_NaturalGasFiredCombinedCycle_CT1B,Coast
56350_NaturalGasFiredCombinedCycle_CT1A,Coast
52176_NaturalGasFiredCombinedCycle_GEN2,Far_West
8063_NaturalGasFiredCombustionTurbine_CT1,North_Central
52176_NaturalGasFiredCombinedCycle_GEN1,Far_West
55015_NaturalGasFiredCombustionTurbine_GEN1,Coast
7325_NaturalGasFiredCombustionTurbine_1,Coast
3469_NaturalGasFiredCombinedCycle_3,Coast
50815_NaturalGasFiredCombinedCycle_GEN4,Coast
56349_NaturalGasFiredCombinedCycle_CT1A,Far_West
50304_OtherGases_GEN5,Coast
50815_NaturalGasFiredCombinedCycle_GEN1,Coast
50043_NaturalGasFiredCombinedCycle_GT3,Coast
52132_NaturalGasFiredCombinedCycle_GEN2,Coast
52132_NaturalGasFiredCombinedCycle_GEN1,Coast
50815_NaturalGasFiredCombinedCycle_GEN5,Coast
56349_NaturalGasFiredCombinedCycle_CT2B,Far_West
3453_NaturalGasSteamTurbine_7,North_Central
50043_NaturalGasFiredCombinedCycle_GT1,Coast
55470_NaturalGasFiredCombinedCycle_ST805,Coast
3464_NaturalGasFiredCombustionTurbine_83,Coast
3494_NaturalGasFiredCombustionTurbine_CT4,Far_West
3494_NaturalGasFiredCombustionTurbine_CT3,Far_West
52120_NaturalGasFiredCombinedCycle_G-63,Coast
59145_NaturalGasFiredCombustionTurbine_65GTG,Coast
8063_NaturalGasFiredCombustionTurbine_CT4,North_Central
52120_NaturalGasFiredCombinedCycle_G-66,Coast
3439_NaturalGasFiredCombustionTurbine_4,South
4266_NaturalGasSteamTurbine_5,North_Central
4266_NaturalGasSteamTurbine_4,North_Central
50815_NaturalGasFiredCombinedCycle_GEN7,Coast
55047_NaturalGasFiredCombinedCycle_STG1,Coast
52120_NaturalGasFiredCombustionTurbine_G-37,Coast
3494_NaturalGasFiredCombustionTurbine_CT5,Far_West
3469_NaturalGasFiredCombustionTurbine_54,Coast
3469_NaturalGasFiredCombustionTurbine_53,Coast
3469_NaturalGasFiredCombustionTurbine_52,Coast
50109_NaturalGasFiredCombinedCycle_GEN3,North
10790_NaturalGasFiredCombustionTurbine_GEN1,Coast
10554_NaturalGasFiredCombinedCycle_ST2,Coast
3469_NaturalGasFiredCombinedCycle_43,Coast
3469_NaturalGasFiredCombinedCycle_42,Coast
3469_NaturalGasFiredCombinedCycle_41,Coast
3469_NaturalGasFiredCombinedCycle_33,Coast
